object_id,original_detection_id,parent_class,frame,x,y,w,h,area,solidity,eccentricity,focus_score,quality_score,cluster
32,349,Cladoceramorpha,RCNHSha_20250511_020931_IMG3,1422,1142,133,173,9070,0.59,0.8206,21.7331,0.3987,14
33,351,Cladoceramorpha,RCNHSha_20250511_020931_IMG3,2720,1311,163,205,9608,0.4342,0.8268,18.8967,0.3492,5
34,353,Cladoceramorpha,RCNHSha_20250511_020931_IMG3,1104,1580,163,196,8079,0.3894,0.7329,28.6619,0.3455,10
35,354,Cladoceramorpha,RCNHSha_20250511_020931_IMG3,1576,1604,52,69,2090,0.811,0.6398,37.3929,0.3643,1
36,360,Cladoceramorpha,RCNHSha_20250511_020931_IMG3,2995,2018,55,48,1467,0.7361,0.5312,40.2528,0.3198,0
37,362,Cladoceramorpha,RCNHSha_20250511_020931_IMG3,2152,2113,158,203,10550,0.4985,0.8265,26.0768,0.3756,13
38,363,Cladoceramorpha,RCNHSha_20250511_020931_IMG3,2449,2262,187,141,6282,0.4608,0.8104,32.6167,0.3709,6
39,373,Cladoceramorpha,RCNHSha_20250511_020946_IMG4,2885,1433,89,127,2846,0.4584,0.8315,23.7075,0.2751,8
40,379,Cladoceramorpha,RCNHSha_20250511_020946_IMG4,2150,1980,131,192,6881,0.3946,0.743,32.6426,0.351,4
41,388,Cladoceramorpha,RCNHSha_20250511_021016_IMG6,2631,700,170,176,7573,0.4263,0.6387,20.9152,0.3488,9
42,390,Cladoceramorpha,RCNHSha_20250511_021016_IMG6,2869,778,113,276,13618,0.6895,0.9501,12.915,0.4198,12
43,396,Cladoceramorpha,RCNHSha_20250511_021016_IMG6,1500,1121,140,188,8583,0.4409,0.7395,22.365,0.3546,5
44,399,Cladoceramorpha,RCNHSha_20250511_021016_IMG6,1263,1263,219,235,15113,0.4727,0.8843,26.2598,0.3681,10
45,400,Cladoceramorpha,RCNHSha_20250511_021016_IMG6,729,1277,153,145,7158,0.5586,0.8792,19.0098,0.3866,0
46,403,Cladoceramorpha,RCNHSha_20250511_021016_IMG6,1567,1606,175,99,6909,0.6567,0.8656,30.27,0.4273,7
47,406,Cladoceramorpha,RCNHSha_20250511_021016_IMG6,2408,1714,195,187,8250,0.3887,0.5398,19.3653,0.336,6
48,407,Cladoceramorpha,RCNHSha_20250511_021016_IMG6,2751,1767,116,218,10588,0.5722,0.8692,16.5107,0.3882,5
49,411,Cladoceramorpha,RCNHSha_20250511_021016_IMG6,1442,1891,70,78,2960,0.7557,0.4587,43.4477,0.3886,1
50,414,Cladoceramorpha,RCNHSha_20250511_021016_IMG6,2370,2067,213,260,9994,0.3486,0.7229,17.7728,0.3224,12
51,428,Cladoceramorpha,RCNHSha_20250511_021031_IMG7,1102,842,74,70,3243,0.7554,0.4815,30.1806,0.3865,0
52,434,Cladoceramorpha,RCNHSha_20250511_021031_IMG7,689,1115,241,181,8296,0.3577,0.8083,18.9437,0.3263,3
53,436,Cladoceramorpha,RCNHSha_20250511_021031_IMG7,2695,1193,106,145,4844,0.4547,0.7861,37.2704,0.3674,4
54,437,Cladoceramorpha,RCNHSha_20250511_021031_IMG7,2374,1204,146,154,5454,0.4482,0.8723,20.815,0.3553,4
55,442,Cladoceramorpha,RCNHSha_20250511_021031_IMG7,2076,1323,92,108,3660,0.5936,0.7409,28.7762,0.3532,5
56,446,Cladoceramorpha,RCNHSha_20250511_021031_IMG7,3125,1642,125,102,6892,0.8156,0.8326,27.8309,0.4725,7
57,450,Cladoceramorpha,RCNHSha_20250511_021031_IMG7,2478,1685,81,100,3641,0.6278,0.7553,33.7957,0.3678,5
58,459,Cladoceramorpha,RCNHSha_20250511_021031_IMG7,2117,2588,192,171,7881,0.5029,0.9012,16.5543,0.3674,7
59,465,Cladoceramorpha,RCNHSha_20250511_023947_IMG4,2671,1220,157,111,3854,0.4227,0.8439,19.4968,0.3005,6
60,467,Cladoceramorpha,RCNHSha_20250511_023947_IMG4,1179,1504,70,51,2064,0.8296,0.7203,40.1851,0.3716,15
61,517,Cladoceramorpha,RCNHSha_20250511_044016_IMG6,1045,534,62,69,2017,0.8256,0.8991,12.4746,0.3408,1
62,519,Cladoceramorpha,RCNHSha_20250511_044016_IMG6,1623,598,78,90,3375,0.7252,0.6573,18.82,0.3714,1
63,520,Cladoceramorpha,RCNHSha_20250511_044016_IMG6,2459,628,146,197,7759,0.4723,0.6482,12.6123,0.3543,9
64,523,Cladoceramorpha,RCNHSha_20250511_044016_IMG6,2060,1237,140,115,4184,0.4496,0.7252,25.7302,0.328,3
65,525,Cladoceramorpha,RCNHSha_20250511_044016_IMG6,986,1333,84,78,3383,0.748,0.7774,34.666,0.3944,0
66,529,Cladoceramorpha,RCNHSha_20250511_044016_IMG6,2477,1571,79,68,3351,0.7561,0.4451,25.7655,0.3866,0
67,535,Cladoceramorpha,RCNHSha_20250511_044016_IMG6,1987,1840,68,108,2831,0.661,0.8764,37.9557,0.3495,5
68,539,Cladoceramorpha,RCNHSha_20250511_044016_IMG6,2498,2192,48,57,1470,0.8122,0.6962,26.1365,0.3286,1
69,582,Cladoceramorpha,RCNHSha_20250511_233901_IMG1,1712,370,128,162,5280,0.454,0.7781,11.9828,0.3482,9
70,587,Cladoceramorpha,RCNHSha_20250511_233901_IMG1,2849,649,116,106,5824,0.7539,0.8412,47.2893,0.4735,7
71,597,Cladoceramorpha,RCNHSha_20250511_233901_IMG1,2031,1136,169,227,8116,0.4036,0.8344,21.4815,0.3426,12
72,599,Cladoceramorpha,RCNHSha_20250511_233901_IMG1,2787,1245,59,73,2270,0.7959,0.7808,38.0619,0.3676,1
73,623,Cladoceramorpha,RCNHSha_20250511_233901_IMG1,1255,2191,208,217,11666,0.5032,0.8819,19.9363,0.3709,5
74,649,Cladoceramorpha,RCNHSha_20250511_234031_IMG7,2917,1509,152,145,5828,0.4604,0.5344,17.0658,0.3552,7
75,672,Cladoceramorpha,RCNHSha_20250511_234046_IMG8,2710,1048,155,140,6173,0.5212,0.8767,18.5263,0.3749,11
76,741,Cladoceramorpha,RCNHSha_20250512_004016_IMG6,1724,1959,71,91,2438,0.7194,0.8832,34.1752,0.3475,8
77,744,Cladoceramorpha,RCNHSha_20250512_004016_IMG6,2558,2182,189,130,6819,0.4485,0.8112,33.9733,0.3685,6
78,748,Cladoceramorpha,RCNHSha_20250512_004016_IMG6,1467,2354,134,108,3371,0.3463,0.6898,28.0803,0.2668,11
79,768,Cladoceramorpha,RCNHSha_20250512_011034_IMG7,1999,412,56,59,1870,0.8341,0.6319,46.1376,0.3712,2
80,772,Cladoceramorpha,RCNHSha_20250512_011034_IMG7,2701,489,51,53,1743,0.816,0.5985,46.109,0.3606,1
81,773,Cladoceramorpha,RCNHSha_20250512_011034_IMG7,1714,491,49,65,1952,0.8703,0.7266,40.7905,0.3799,1
82,785,Cladoceramorpha,RCNHSha_20250512_011034_IMG7,2399,715,131,131,4403,0.497,0.6903,23.5164,0.3487,11
83,792,Cladoceramorpha,RCNHSha_20250512_011034_IMG7,1830,821,125,157,5283,0.4344,0.9061,24.3264,0.3547,8
84,805,Cladoceramorpha,RCNHSha_20250512_011034_IMG7,973,1000,103,163,4999,0.4646,0.8758,27.3497,0.3667,14
85,817,Cladoceramorpha,RCNHSha_20250512_011034_IMG7,1577,1214,86,158,5115,0.6258,0.9432,39.8236,0.4276,4
86,830,Cladoceramorpha,RCNHSha_20250512_011034_IMG7,2836,1371,64,53,2142,0.8736,0.7318,55.9924,0.4037,0
87,834,Cladoceramorpha,RCNHSha_20250512_011034_IMG7,1633,1429,184,105,7730,0.5493,0.8519,34.2148,0.399,3
88,839,Cladoceramorpha,RCNHSha_20250512_011034_IMG7,1567,1487,51,66,1751,0.7254,0.6554,43.7357,0.3314,2
89,847,Cladoceramorpha,RCNHSha_20250512_011034_IMG7,1016,1586,56,57,2162,0.9596,0.6571,25.8493,0.4002,1
90,850,Cladoceramorpha,RCNHSha_20250512_011034_IMG7,2680,1594,60,57,2105,0.8056,0.3989,27.514,0.3534,0
91,873,Cladoceramorpha,RCNHSha_20250512_011034_IMG7,1168,1850,189,162,9037,0.6038,0.9098,20.9651,0.4021,7
92,874,Cladoceramorpha,RCNHSha_20250512_011034_IMG7,2779,1858,70,75,2904,0.7533,0.643,57.8409,0.4,1
93,880,Cladoceramorpha,RCNHSha_20250512_011034_IMG7,2859,1903,72,88,4360,0.8805,0.7331,54.9248,0.4935,1
94,882,Cladoceramorpha,RCNHSha_20250512_011034_IMG7,1426,1924,53,55,1446,0.8197,0.7225,47.602,0.3514,2
95,889,Cladoceramorpha,RCNHSha_20250512_011034_IMG7,1441,2020,113,89,2387,0.4546,0.8521,44.2755,0.2761,11
96,891,Cladoceramorpha,RCNHSha_20250512_011034_IMG7,1875,2029,161,114,8174,0.6372,0.859,26.969,0.4181,7
97,899,Cladoceramorpha,RCNHSha_20250512_011034_IMG7,1597,2163,50,53,1643,0.8867,0.8049,48.4659,0.3802,1
98,901,Cladoceramorpha,RCNHSha_20250512_011034_IMG7,2422,2212,50,52,1502,0.8194,0.6006,49.5851,0.3555,1
99,904,Cladoceramorpha,RCNHSha_20250512_011034_IMG7,1482,2272,46,56,1559,0.9149,0.5598,44.7408,0.3816,2
100,909,Cladoceramorpha,RCNHSha_20250512_011034_IMG7,1934,2316,124,99,4668,0.5831,0.6351,60.1578,0.4218,15
101,911,Cladoceramorpha,RCNHSha_20250512_011034_IMG7,2308,2364,153,96,4173,0.5036,0.8918,37.4572,0.3555,15
102,913,Cladoceramorpha,RCNHSha_20250512_011034_IMG7,1622,2388,58,75,2512,0.8185,0.5431,29.582,0.3756,1
103,917,Cladoceramorpha,RCNHSha_20250512_011034_IMG7,1767,2519,45,58,1486,0.8201,0.6743,36.178,0.3416,2
104,924,Cladoceramorpha,RCNHSha_20250512_011034_IMG7,1769,2746,53,76,2292,0.862,0.8319,21.4023,0.3717,1
105,930,Cladoceramorpha,RCNHSha_20250512_020902_IMG1,2177,361,201,191,8222,0.3874,0.586,29.8909,0.3461,13
106,931,Cladoceramorpha,RCNHSha_20250512_020902_IMG1,1496,562,201,204,8590,0.3861,0.4516,18.9095,0.3347,9
107,932,Cladoceramorpha,RCNHSha_20250512_020902_IMG1,1847,599,137,156,8999,0.698,0.71,11.6835,0.4211,1
108,933,Cladoceramorpha,RCNHSha_20250512_020902_IMG1,2141,704,175,234,9575,0.4063,0.7976,27.6518,0.3495,13
109,936,Cladoceramorpha,RCNHSha_20250512_020902_IMG1,2942,1033,259,205,12317,0.4113,0.8405,22.3083,0.3457,16
110,940,Cladoceramorpha,RCNHSha_20250512_020902_IMG1,1505,1138,155,201,6960,0.4214,0.7638,27.962,0.3544,13
111,942,Cladoceramorpha,RCNHSha_20250512_020902_IMG1,820,1330,179,202,8422,0.3524,0.5324,27.2961,0.333,4
112,944,Cladoceramorpha,RCNHSha_20250512_020902_IMG1,1416,1415,184,137,6391,0.4305,0.8232,24.2943,0.3534,6
113,945,Cladoceramorpha,RCNHSha_20250512_020902_IMG1,2900,1426,176,140,5422,0.4489,0.8585,29.9044,0.3646,3
114,946,Cladoceramorpha,RCNHSha_20250512_020902_IMG1,1690,1456,221,132,9936,0.5759,0.9431,15.5696,0.3883,3
115,950,Cladoceramorpha,RCNHSha_20250512_020902_IMG1,2288,1843,193,201,11841,0.4566,0.7012,15.4183,0.3524,12
116,951,Cladoceramorpha,RCNHSha_20250512_020902_IMG1,1689,1894,166,153,7786,0.4779,0.7809,27.8383,0.3712,7
117,957,Cladoceramorpha,RCNHSha_20250512_020902_IMG1,2830,2274,159,176,6458,0.4372,0.7111,20.4664,0.3516,13
118,958,Cladoceramorpha,RCNHSha_20250512_020902_IMG1,2160,2276,141,140,5308,0.4395,0.8358,30.1584,0.362,6
119,960,Cladoceramorpha,RCNHSha_20250512_020902_IMG1,1196,2324,115,161,6028,0.4781,0.886,27.8857,0.3713,5
120,961,Cladoceramorpha,RCNHSha_20250512_020902_IMG1,1291,2464,186,201,7530,0.3767,0.7848,19.467,0.3325,13
121,968,Cladoceramorpha,RCNHSha_20250512_021047_IMG8,2429,396,273,307,17567,0.4281,0.9568,14.8577,0.3433,12
122,981,Cladoceramorpha,RCNHSha_20250512_021047_IMG8,2766,860,174,233,11486,0.4716,0.8677,19.2395,0.3607,9
123,983,Cladoceramorpha,RCNHSha_20250512_021047_IMG8,2383,905,180,204,8973,0.4386,0.7728,14.2891,0.3459,12
124,984,Cladoceramorpha,RCNHSha_20250512_021047_IMG8,1587,929,83,165,6387,0.663,0.8081,21.666,0.4206,5
125,986,Cladoceramorpha,RCNHSha_20250512_021047_IMG8,1765,979,116,112,4378,0.5561,0.6204,19.7695,0.3617,6
126,988,Cladoceramorpha,RCNHSha_20250512_021047_IMG8,1329,1007,85,160,6679,0.7952,0.8937,18.0673,0.4566,14
127,995,Cladoceramorpha,RCNHSha_20250512_021047_IMG8,2934,1355,60,49,1994,0.9097,0.7336,38.1459,0.3908,15
128,996,Cladoceramorpha,RCNHSha_20250512_021047_IMG8,1762,1364,137,149,4791,0.3717,0.3183,20.9254,0.3241,16
129,999,Cladoceramorpha,RCNHSha_20250512_021047_IMG8,1822,1586,177,105,6986,0.6902,0.8851,27.2043,0.4343,7
130,1000,Cladoceramorpha,RCNHSha_20250512_021047_IMG8,753,1611,66,121,4790,0.854,0.8785,28.2832,0.4761,5
131,1001,Cladoceramorpha,RCNHSha_20250512_021047_IMG8,2962,1617,153,208,7815,0.4812,0.8368,12.5344,0.3569,9
132,1002,Cladoceramorpha,RCNHSha_20250512_021047_IMG8,1489,1631,205,169,6883,0.368,0.8376,26.5502,0.337,3
133,1007,Cladoceramorpha,RCNHSha_20250512_021047_IMG8,1923,1754,207,122,8584,0.566,0.8697,20.4794,0.3903,3
134,1026,Cladoceramorpha,RCNHSha_20250512_023933_IMG3,2347,1996,192,171,9314,0.4887,0.7272,31.2891,0.3779,7
135,1037,Cladoceramorpha,RCNHSha_20250512_023948_IMG4,1076,1847,91,161,7690,0.759,0.7995,25.0235,0.4527,14
136,1043,Cladoceramorpha,RCNHSha_20250512_030902_IMG1,1116,746,162,245,9871,0.4314,0.8398,12.2325,0.3417,8
137,1086,Cladoceramorpha,RCNHSha_20250512_041018_IMG6,2337,1045,61,59,2267,0.7888,0.5651,34.0294,0.3613,0
138,1088,Cladoceramorpha,RCNHSha_20250512_041018_IMG6,923,1368,90,70,2965,0.7029,0.7468,38.3263,0.3678,0
139,1176,Cladoceramorpha,RCNHSha_20250512_233915_IMG2,1560,1959,88,144,5959,0.7338,0.8268,40.5452,0.4607,14
140,1215,Cladoceramorpha,RCNHSha_20250513_003900_IMG1,1863,618,100,95,2568,0.5982,0.9146,23.3659,0.3055,11
141,1248,Cladoceramorpha,RCNHSha_20250513_003900_IMG1,2415,1782,51,59,1705,0.9462,0.8788,30.7384,0.3828,2
142,1256,Cladoceramorpha,RCNHSha_20250513_003900_IMG1,1141,2199,168,198,7384,0.4217,0.7444,15.1574,0.3417,9
143,1278,Cladoceramorpha,RCNHSha_20250513_003931_IMG3,1551,660,68,62,2279,0.8087,0.4329,59.3136,0.3931,0
144,1281,Cladoceramorpha,RCNHSha_20250513_003931_IMG3,1604,687,135,172,8264,0.6065,0.8185,23.8002,0.4057,10
145,1300,Cladoceramorpha,RCNHSha_20250513_003931_IMG3,2041,1252,192,234,9290,0.3564,0.808,25.3971,0.3323,16
146,1349,Cladoceramorpha,RCNHSha_20250513_010946_IMG4,2541,758,165,154,6650,0.4048,0.6488,17.8088,0.3393,6
147,1351,Cladoceramorpha,RCNHSha_20250513_010946_IMG4,1710,849,182,168,8548,0.463,0.6847,25.9016,0.3648,6
148,1354,Cladoceramorpha,RCNHSha_20250513_010946_IMG4,2654,966,130,64,4333,0.7281,0.8469,37.5488,0.4293,3
149,1359,Cladoceramorpha,RCNHSha_20250513_010946_IMG4,3154,1325,182,176,8226,0.3926,0.6909,25.1525,0.3429,7
150,1365,Cladoceramorpha,RCNHSha_20250513_010946_IMG4,3058,1809,142,124,4770,0.4258,0.8008,30.507,0.3491,6
151,1369,Cladoceramorpha,RCNHSha_20250513_010946_IMG4,2503,2326,236,212,11115,0.3802,0.8199,16.4814,0.3305,7
152,1377,Cladoceramorpha,RCNHSha_20250513_013947_IMG4,1781,768,175,207,8854,0.3546,0.702,20.6664,0.327,10
153,1379,Cladoceramorpha,RCNHSha_20250513_013947_IMG4,1938,847,88,163,6224,0.774,0.8991,26.9302,0.4591,5
154,1381,Cladoceramorpha,RCNHSha_20250513_013947_IMG4,2809,917,225,202,11205,0.4741,0.8758,24.5715,0.3668,7
155,1383,Cladoceramorpha,RCNHSha_20250513_013947_IMG4,829,1092,179,166,6975,0.3997,0.7065,21.9133,0.3418,6
156,1385,Cladoceramorpha,RCNHSha_20250513_013947_IMG4,1726,1191,138,186,6995,0.3507,0.8142,32.2287,0.3374,4
157,1388,Cladoceramorpha,RCNHSha_20250513_013947_IMG4,2180,1377,203,242,8910,0.3838,0.769,24.7648,0.3399,13
158,1391,Cladoceramorpha,RCNHSha_20250513_013947_IMG4,933,1559,215,243,13886,0.4921,0.5988,13.2859,0.3609,9
159,1398,Cladoceramorpha,RCNHSha_20250513_013947_IMG4,2719,2007,204,196,9374,0.4074,0.6128,15.6571,0.3379,7
160,1403,Cladoceramorpha,RCNHSha_20250513_013947_IMG4,1526,2343,190,81,7025,0.7493,0.9019,31.2448,0.456,3
161,1416,Cladoceramorpha,RCNHSha_20250513_014047_IMG8,1466,520,187,187,8870,0.4738,0.8831,32.0504,0.3742,7
162,1417,Cladoceramorpha,RCNHSha_20250513_014047_IMG8,2891,542,155,165,7138,0.4847,0.7824,16.6874,0.3621,9
163,1420,Cladoceramorpha,RCNHSha_20250513_014047_IMG8,2662,652,235,121,7960,0.4647,0.8893,33.0553,0.3725,6
164,1428,Cladoceramorpha,RCNHSha_20250513_014047_IMG8,1118,1253,156,236,9394,0.427,0.7713,32.8601,0.361,13
165,1429,Cladoceramorpha,RCNHSha_20250513_014047_IMG8,2626,1384,192,253,10968,0.3287,0.8254,20.5985,0.3192,13
166,1430,Cladoceramorpha,RCNHSha_20250513_014047_IMG8,1786,1428,223,180,8717,0.3476,0.6155,17.1224,0.3214,6
167,1434,Cladoceramorpha,RCNHSha_20250513_014047_IMG8,2247,1545,152,168,7734,0.5322,0.9031,34.331,0.394,5
168,1435,Cladoceramorpha,RCNHSha_20250513_014047_IMG8,2912,1595,103,193,8184,0.6536,0.8846,27.1602,0.4232,5
169,1440,Cladoceramorpha,RCNHSha_20250513_014047_IMG8,1702,1723,145,187,10021,0.5924,0.8561,30.0485,0.4078,14
170,1442,Cladoceramorpha,RCNHSha_20250513_014047_IMG8,934,1809,189,219,9802,0.4348,0.7496,15.5929,0.346,9
171,1443,Cladoceramorpha,RCNHSha_20250513_014047_IMG8,2596,1839,244,148,10294,0.5324,0.8751,17.6434,0.3774,3
172,1444,Cladoceramorpha,RCNHSha_20250513_014047_IMG8,2433,1903,100,147,4091,0.5048,0.8107,14.5097,0.3296,8
173,1445,Cladoceramorpha,RCNHSha_20250513_014047_IMG8,737,1960,171,78,4781,0.6025,0.9019,13.7489,0.3857,3
174,1453,Cladoceramorpha,RCNHSha_20250513_014047_IMG8,1630,2361,113,94,4545,0.5657,0.7187,59.3729,0.4109,15
175,1455,Cladoceramorpha,RCNHSha_20250513_014047_IMG8,1426,2426,140,138,7009,0.6822,0.8242,26.3339,0.431,7
176,1456,Cladoceramorpha,RCNHSha_20250513_014047_IMG8,1593,2429,169,139,8487,0.7314,0.892,34.576,0.454,3
177,1465,Cladoceramorpha,RCNHSha_20250513_023901_IMG1,2423,849,164,149,6498,0.4298,0.5172,12.174,0.3411,6
178,1466,Cladoceramorpha,RCNHSha_20250513_023901_IMG1,1246,858,157,135,5743,0.4231,0.8139,31.0038,0.3579,6
179,1470,Cladoceramorpha,RCNHSha_20250513_023901_IMG1,2277,1131,227,179,8451,0.3754,0.7496,21.363,0.334,15
180,1481,Cladoceramorpha,RCNHSha_20250513_023901_IMG1,1584,2526,140,78,2777,0.4488,0.9289,26.3696,0.2721,3
181,1487,Cladoceramorpha,RCNHSha_20250513_024032_IMG7,2042,401,149,213,7612,0.4433,0.7466,11.9568,0.3449,9
182,1490,Cladoceramorpha,RCNHSha_20250513_024032_IMG7,1538,693,188,203,8645,0.3881,0.7764,28.7079,0.3451,5
183,1492,Cladoceramorpha,RCNHSha_20250513_024032_IMG7,2000,747,162,211,8801,0.3979,0.8725,25.5545,0.3449,5
184,1496,Cladoceramorpha,RCNHSha_20250513_024032_IMG7,1479,1400,112,143,6337,0.6578,0.9003,35.0008,0.4323,14
185,1502,Cladoceramorpha,RCNHSha_20250513_024032_IMG7,2309,2198,150,235,11061,0.4976,0.7544,22.6801,0.372,14
186,1506,Cladoceramorpha,RCNHSha_20250513_024032_IMG7,2000,2449,142,178,6720,0.4797,0.7728,13.4022,0.3573,12
187,1509,Cladoceramorpha,RCNHSha_20250513_024032_IMG7,2540,2570,129,117,5719,0.6739,0.8337,17.6175,0.4198,3
188,1541,Cladoceramorpha,RCNHSha_20250513_030916_IMG2,1564,727,48,54,1452,0.7926,0.6271,39.2921,0.3351,2
189,1545,Cladoceramorpha,RCNHSha_20250513_030916_IMG2,2296,797,93,158,7910,0.7203,0.8382,26.1084,0.4422,5
190,1559,Cladoceramorpha,RCNHSha_20250513_030916_IMG2,2816,1070,182,142,9976,0.5768,0.8037,16.8226,0.3899,6
191,1571,Cladoceramorpha,RCNHSha_20250513_030916_IMG2,2370,1285,150,84,5628,0.6795,0.8265,27.2608,0.4311,3
192,1582,Cladoceramorpha,RCNHSha_20250513_030916_IMG2,1437,1489,190,212,11438,0.4508,0.7838,18.7949,0.354,4
193,1600,Cladoceramorpha,RCNHSha_20250513_030916_IMG2,1170,2004,98,59,2625,0.5982,0.8989,23.8027,0.3083,6
194,1612,Cladoceramorpha,RCNHSha_20250513_030916_IMG2,1071,2242,190,165,8967,0.5909,0.956,12.5751,0.3898,3
195,1618,Cladoceramorpha,RCNHSha_20250513_030916_IMG2,1563,2346,214,186,12827,0.5484,0.8993,16.3169,0.3808,7
196,1650,Cladoceramorpha,RCNHSha_20250513_030931_IMG3,1079,598,199,135,7095,0.5257,0.8949,22.7116,0.3804,7
197,1686,Cladoceramorpha,RCNHSha_20250513_030931_IMG3,1188,1319,246,187,11702,0.4163,0.6321,20.0559,0.345,6
198,1697,Cladoceramorpha,RCNHSha_20250513_030931_IMG3,889,1485,211,253,9242,0.3057,0.8306,18.4586,0.3102,8
199,1707,Cladoceramorpha,RCNHSha_20250513_030931_IMG3,1703,1781,88,144,6767,0.7341,0.837,38.8511,0.4591,5
200,1709,Cladoceramorpha,RCNHSha_20250513_030931_IMG3,1506,1831,195,149,8873,0.4797,0.8687,25.0642,0.369,3
201,1712,Cladoceramorpha,RCNHSha_20250513_030931_IMG3,1049,1902,191,220,8800,0.3387,0.1855,16.8539,0.3185,12
202,1718,Cladoceramorpha,RCNHSha_20250513_030931_IMG3,1948,2015,203,249,9929,0.3563,0.7511,29.6694,0.3366,9
203,1720,Cladoceramorpha,RCNHSha_20250513_030931_IMG3,2440,2201,212,174,10492,0.4409,0.637,29.335,0.3616,7
204,1736,Cladoceramorpha,RCNHSha_20250513_031016_IMG6,2306,301,227,238,9399,0.3452,0.9064,22.3393,0.3259,9
