detection_id,frame,bbox_x,bbox_y,bbox_w,bbox_h,original_cluster,final_class,class_name,status
580,RCNHSha_20250511_233901_IMG1,2333,259,157,181,0,2,Detritus / Unsharp Organisms,relabelled
1391,RCNHSha_20250513_013947_IMG4,933,1559,215,243,0,0,Cladoceramorpha,confirmed
981,RCNHSha_20250512_021047_IMG8,2766,860,174,233,0,0,Cladoceramorpha,confirmed
3037,RCNHSha_20250515_001047_IMG8,2579,842,185,211,0,0,Cladoceramorpha,confirmed
3876,RCNHSha_20250515_023932_IMG3,2087,1831,150,182,0,2,Detritus / Unsharp Organisms,relabelled
1661,RCNHSha_20250513_030931_IMG3,2691,802,166,148,0,2,Detritus / Unsharp Organisms,relabelled
1820,RCNHSha_20250513_031031_IMG7,2335,472,166,196,0,2,Detritus / Unsharp Organisms,relabelled
3026,RCNHSha_20250515_001047_IMG8,1575,614,154,131,0,0,Cladoceramorpha,confirmed
1506,RCNHSha_20250513_024032_IMG7,2000,2449,142,178,0,0,Cladoceramorpha,confirmed
1001,RCNHSha_20250512_021047_IMG8,2962,1617,153,208,0,0,Cladoceramorpha,confirmed
4424,RCNHSha_20250516_000901_IMG1,2195,303,134,163,0,0,Cladoceramorpha,confirmed
2170,RCNHSha_20250513_234016_IMG6,2046,2760,69,103,0,0,Cladoceramorpha,confirmed
649,RCNHSha_20250511_234031_IMG7,2917,1509,152,145,0,0,Cladoceramorpha,confirmed
396,RCNHSha_20250511_021016_IMG6,1500,1121,140,188,0,0,Cladoceramorpha,confirmed
940,RCNHSha_20250512_020902_IMG1,1505,1138,155,201,0,0,Cladoceramorpha,confirmed
520,RCNHSha_20250511_044016_IMG6,2459,628,146,197,0,0,Cladoceramorpha,confirmed
325,RCNHSha_20250511_020901_IMG1,2842,692,177,183,0,0,Cladoceramorpha,confirmed
950,RCNHSha_20250512_020902_IMG1,2288,1843,193,201,0,0,Cladoceramorpha,confirmed
1824,RCNHSha_20250513_031031_IMG7,2450,744,199,272,0,0,Cladoceramorpha,confirmed
957,RCNHSha_20250512_020902_IMG1,2830,2274,159,176,0,0,Cladoceramorpha,confirmed
327,RCNHSha_20250511_020901_IMG1,2404,908,219,190,0,0,Cladoceramorpha,confirmed
989,RCNHSha_20250512_021047_IMG8,2533,1030,148,184,0,2,Detritus / Unsharp Organisms,relabelled
5704,RCNHSha_20250516_033932_IMG3,996,1359,170,187,0,0,Cladoceramorpha,confirmed
1874,RCNHSha_20250513_034017_IMG6,2817,543,187,271,0,2,Detritus / Unsharp Organisms,relabelled
535,RCNHSha_20250511_044016_IMG6,1987,1840,68,108,0,0,Cladoceramorpha,confirmed
2845,RCNHSha_20250515_000932_IMG3,2201,2199,286,230,0,0,Cladoceramorpha,confirmed
351,RCNHSha_20250511_020931_IMG3,2720,1311,163,205,0,0,Cladoceramorpha,confirmed
388,RCNHSha_20250511_021016_IMG6,2631,700,170,176,0,0,Cladoceramorpha,confirmed
582,RCNHSha_20250511_233901_IMG1,1712,370,128,162,0,0,Cladoceramorpha,confirmed
1796,RCNHSha_20250513_031016_IMG6,1732,2155,177,261,0,0,Cladoceramorpha,confirmed
1442,RCNHSha_20250513_014047_IMG8,934,1809,189,219,0,0,Cladoceramorpha,confirmed
983,RCNHSha_20250512_021047_IMG8,2383,905,180,204,0,0,Cladoceramorpha,confirmed
936,RCNHSha_20250512_020902_IMG1,2942,1033,259,205,0,0,Cladoceramorpha,confirmed
1490,RCNHSha_20250513_024032_IMG7,1538,693,188,203,0,0,Cladoceramorpha,confirmed
5063,RCNHSha_20250516_003930_IMG3,2913,1353,94,149,0,0,Cladoceramorpha,confirmed
1487,RCNHSha_20250513_024032_IMG7,2042,401,149,213,0,0,Cladoceramorpha,confirmed
1492,RCNHSha_20250513_024032_IMG7,2000,747,162,211,0,0,Cladoceramorpha,confirmed
3637,RCNHSha_20250515_014047_IMG8,2302,556,147,166,0,0,Cladoceramorpha,confirmed
3592,RCNHSha_20250515_013932_IMG3,1283,700,179,193,0,0,Cladoceramorpha,confirmed
2461,RCNHSha_20250514_030947_IMG4,2002,2458,193,205,0,0,Cladoceramorpha,confirmed
968,RCNHSha_20250512_021047_IMG8,2429,396,273,307,0,0,Cladoceramorpha,confirmed
8477,RCNHSha_20250922_055135_IMG9,1996,2527,166,172,0,0,Cladoceramorpha,confirmed
597,RCNHSha_20250511_233901_IMG1,2031,1136,169,227,0,0,Cladoceramorpha,confirmed
1043,RCNHSha_20250512_030902_IMG1,1116,746,162,245,0,0,Cladoceramorpha,confirmed
1256,RCNHSha_20250513_003900_IMG1,1141,2199,168,198,0,0,Cladoceramorpha,confirmed
1854,RCNHSha_20250513_031031_IMG7,2666,1848,190,206,0,0,Cladoceramorpha,confirmed
1626,RCNHSha_20250513_030916_IMG2,1729,2507,128,179,0,50,Copepoda,relabelled
3867,RCNHSha_20250515_023932_IMG3,2534,1348,153,197,0,0,Cladoceramorpha,confirmed
1388,RCNHSha_20250513_013947_IMG4,2180,1377,203,242,0,0,Cladoceramorpha,confirmed
1992,RCNHSha_20250513_043901_IMG1,766,987,135,179,0,0,Cladoceramorpha,confirmed
2777,RCNHSha_20250515_000932_IMG3,1663,961,152,197,0,0,Cladoceramorpha,confirmed
1398,RCNHSha_20250513_013947_IMG4,2719,2007,204,196,0,0,Cladoceramorpha,confirmed
32,RCNHSha_20250509_233933_IMG3,2370,1567,57,82,0,2,Detritus / Unsharp Organisms,relabelled
1718,RCNHSha_20250513_030931_IMG3,1948,2015,203,249,0,0,Cladoceramorpha,confirmed
7556,RCNHSha_20250922_005035_IMG4,1428,2485,98,86,0,2,Detritus / Unsharp Organisms,relabelled
2419,RCNHSha_20250514_030916_IMG2,1110,1146,206,176,0,0,Cladoceramorpha,confirmed
931,RCNHSha_20250512_020902_IMG1,1496,562,201,204,0,0,Cladoceramorpha,confirmed
5267,RCNHSha_20250516_010915_IMG2,2220,1592,178,236,0,0,Cladoceramorpha,confirmed
3073,RCNHSha_20250515_001047_IMG8,2121,1754,114,155,0,0,Cladoceramorpha,confirmed
961,RCNHSha_20250512_020902_IMG1,1291,2464,186,201,0,0,Cladoceramorpha,confirmed
4631,RCNHSha_20250516_000947_IMG4,2816,519,150,190,0,0,Cladoceramorpha,confirmed
339,RCNHSha_20250511_020901_IMG1,2518,2333,183,245,0,0,Cladoceramorpha,confirmed
1369,RCNHSha_20250513_010946_IMG4,2503,2326,236,212,0,0,Cladoceramorpha,confirmed
1444,RCNHSha_20250513_014047_IMG8,2433,1903,100,147,0,0,Cladoceramorpha,confirmed
2058,RCNHSha_20250513_043932_IMG3,1698,2244,226,183,0,0,Cladoceramorpha,confirmed
295,RCNHSha_20250511_010937_IMG3,2245,331,196,262,0,0,Cladoceramorpha,confirmed
7289,RCNHSha_20250921_232102_IMG7,1857,797,118,132,0,0,Cladoceramorpha,confirmed
1786,RCNHSha_20250513_031016_IMG6,1639,1841,291,256,0,0,Cladoceramorpha,confirmed
1736,RCNHSha_20250513_031016_IMG6,2306,301,227,238,0,0,Cladoceramorpha,confirmed
4138,RCNHSha_20250515_041033_IMG7,656,1484,144,181,0,0,Cladoceramorpha,confirmed
1429,RCNHSha_20250513_014047_IMG8,2626,1384,192,253,0,0,Cladoceramorpha,confirmed
1712,RCNHSha_20250513_030931_IMG3,1049,1902,191,220,0,0,Cladoceramorpha,confirmed
7109,RCNHSha_20250921_225141_IMG11,1655,503,115,107,0,0,Cladoceramorpha,confirmed
5502,RCNHSha_20250516_014000_IMG5,2959,2115,103,135,0,0,Cladoceramorpha,confirmed
216,RCNHSha_20250510_020947_IMG4,1901,1784,133,104,0,1000,Unidentified_Organism,relabelled
3186,RCNHSha_20250515_003932_IMG3,2066,1766,89,104,0,0,Cladoceramorpha,confirmed
373,RCNHSha_20250511_020946_IMG4,2885,1433,89,127,0,0,Cladoceramorpha,confirmed
7637,RCNHSha_20250922_005045_IMG5,2771,2378,93,64,0,0,Cladoceramorpha,confirmed
6589,RCNHSha_20250921_222029_IMG4,1630,1243,111,98,0,0,Cladoceramorpha,confirmed
132,RCNHSha_20250510_013946_IMG4,2040,2125,81,109,0,0,Cladoceramorpha,confirmed
4512,RCNHSha_20250516_000901_IMG1,3188,1428,54,83,0,2,Detritus / Unsharp Organisms,relabelled
1788,RCNHSha_20250513_031016_IMG6,3022,1925,82,117,0,0,Cladoceramorpha,confirmed
1886,RCNHSha_20250513_034017_IMG6,2944,1352,140,63,2,2,Detritus / Unsharp Organisms,confirmed
1717,RCNHSha_20250513_030931_IMG3,1390,1990,137,88,2,2,Detritus / Unsharp Organisms,confirmed
9055,RCNHSha_20250922_072118_IMG7,1288,1232,138,82,2,2,Detritus / Unsharp Organisms,confirmed
9231,RCNHSha_20250922_075109_IMG6,1285,1228,147,84,2,2,Detritus / Unsharp Organisms,confirmed
9143,RCNHSha_20250922_072208_IMG12,1288,1234,139,79,2,2,Detritus / Unsharp Organisms,confirmed
1557,RCNHSha_20250513_030916_IMG2,2202,1038,136,68,2,2,Detritus / Unsharp Organisms,confirmed
1289,RCNHSha_20250513_003931_IMG3,1412,858,121,78,2,2,Detritus / Unsharp Organisms,confirmed
7138,RCNHSha_20250921_225141_IMG11,2114,1669,130,78,2,2,Detritus / Unsharp Organisms,confirmed
341,RCNHSha_20250511_020901_IMG1,2207,2710,148,53,2,2,Detritus / Unsharp Organisms,confirmed
6518,RCNHSha_20250921_222019_IMG3,2116,1669,131,78,2,2,Detritus / Unsharp Organisms,confirmed
7521,RCNHSha_20250922_005035_IMG4,2120,1671,125,77,2,2,Detritus / Unsharp Organisms,confirmed
2203,RCNHSha_20250514_001002_IMG5,2871,1200,115,81,2,2,Detritus / Unsharp Organisms,confirmed
5828,RCNHSha_20250516_041017_IMG6,1782,853,113,75,2,2,Detritus / Unsharp Organisms,confirmed
1414,RCNHSha_20250513_014047_IMG8,1715,314,121,91,2,2,Detritus / Unsharp Organisms,confirmed
445,RCNHSha_20250511_021031_IMG7,1129,1611,137,95,2,2,Detritus / Unsharp Organisms,confirmed
5242,RCNHSha_20250516_010915_IMG2,2832,540,111,60,2,2,Detritus / Unsharp Organisms,confirmed
5548,RCNHSha_20250516_014100_IMG9,1326,2253,116,93,2,2,Detritus / Unsharp Organisms,confirmed
2276,RCNHSha_20250514_021100_IMG9,2864,1177,126,86,2,2,Detritus / Unsharp Organisms,confirmed
2430,RCNHSha_20250514_030916_IMG2,1659,2296,117,74,2,2,Detritus / Unsharp Organisms,confirmed
4910,RCNHSha_20250516_001016_IMG6,1349,969,137,84,2,2,Detritus / Unsharp Organisms,confirmed
5862,RCNHSha_20250516_041017_IMG6,2118,2279,79,73,2,2,Detritus / Unsharp Organisms,confirmed
7870,RCNHSha_20250922_005155_IMG12,2120,1669,146,83,2,2,Detritus / Unsharp Organisms,confirmed
6981,RCNHSha_20250921_225101_IMG7,2113,1663,139,84,2,2,Detritus / Unsharp Organisms,confirmed
3689,RCNHSha_20250515_021001_IMG5,1877,752,130,126,2,2,Detritus / Unsharp Organisms,confirmed
3910,RCNHSha_20250515_031002_IMG5,1871,742,139,132,2,2,Detritus / Unsharp Organisms,confirmed
3433,RCNHSha_20250515_011017_IMG6,2834,1348,183,66,2,2,Detritus / Unsharp Organisms,confirmed
6718,RCNHSha_20250921_225031_IMG4,788,1084,125,83,2,2,Detritus / Unsharp Organisms,confirmed
1773,RCNHSha_20250513_031016_IMG6,3211,1437,121,70,2,2,Detritus / Unsharp Organisms,confirmed
2931,RCNHSha_20250515_001032_IMG7,2426,1178,131,60,2,2,Detritus / Unsharp Organisms,confirmed
3020,RCNHSha_20250515_001047_IMG8,2756,560,119,92,2,2,Detritus / Unsharp Organisms,confirmed
2270,RCNHSha_20250514_021100_IMG9,1757,774,140,102,2,2,Detritus / Unsharp Organisms,confirmed
4950,RCNHSha_20250516_001016_IMG6,2865,1588,126,68,2,2,Detritus / Unsharp Organisms,confirmed
2552,RCNHSha_20250514_053917_IMG2,1874,810,158,73,2,2,Detritus / Unsharp Organisms,confirmed
2414,RCNHSha_20250514_030916_IMG2,1738,811,156,74,2,2,Detritus / Unsharp Organisms,confirmed
2579,RCNHSha_20250514_053932_IMG3,1875,751,133,129,2,2,Detritus / Unsharp Organisms,confirmed
4173,RCNHSha_20250515_043917_IMG2,1878,790,159,85,2,2,Detritus / Unsharp Organisms,confirmed
2610,RCNHSha_20250514_054003_IMG5,1871,766,132,115,2,2,Detritus / Unsharp Organisms,confirmed
3442,RCNHSha_20250515_011017_IMG6,3167,1680,101,63,2,2,Detritus / Unsharp Organisms,confirmed
2636,RCNHSha_20250514_054033_IMG7,1874,777,125,103,2,2,Detritus / Unsharp Organisms,confirmed
2923,RCNHSha_20250515_001032_IMG7,942,1064,93,46,2,2,Detritus / Unsharp Organisms,confirmed
3471,RCNHSha_20250515_011032_IMG7,2112,278,169,72,2,2,Detritus / Unsharp Organisms,confirmed
3445,RCNHSha_20250515_011017_IMG6,941,1784,143,83,2,2,Detritus / Unsharp Organisms,confirmed
1504,RCNHSha_20250513_024032_IMG7,2975,2292,148,80,2,2,Detritus / Unsharp Organisms,confirmed
5321,RCNHSha_20250516_011015_IMG6,1246,1013,106,103,2,2,Detritus / Unsharp Organisms,confirmed
8690,RCNHSha_20250922_062107_IMG6,2298,744,118,84,2,2,Detritus / Unsharp Organisms,confirmed
7682,RCNHSha_20250922_005105_IMG7,1945,979,96,77,2,2,Detritus / Unsharp Organisms,confirmed
7610,RCNHSha_20250922_005045_IMG5,2110,1671,135,92,2,2,Detritus / Unsharp Organisms,confirmed
8601,RCNHSha_20250922_062047_IMG4,2300,743,115,84,2,2,Detritus / Unsharp Organisms,confirmed
5924,RCNHSha_20250516_044031_IMG7,1251,1076,132,81,2,2,Detritus / Unsharp Organisms,confirmed
1789,RCNHSha_20250513_031016_IMG6,2203,1941,112,65,2,2,Detritus / Unsharp Organisms,confirmed
5871,RCNHSha_20250516_041049_IMG8,1747,415,121,93,2,2,Detritus / Unsharp Organisms,confirmed
3116,RCNHSha_20250515_003916_IMG2,1876,783,133,95,2,2,Detritus / Unsharp Organisms,confirmed
5046,RCNHSha_20250516_003930_IMG3,1030,820,139,85,2,2,Detritus / Unsharp Organisms,confirmed
3269,RCNHSha_20250515_010917_IMG2,1874,851,163,79,2,2,Detritus / Unsharp Organisms,confirmed
3420,RCNHSha_20250515_011017_IMG6,1874,824,163,65,2,2,Detritus / Unsharp Organisms,confirmed
7591,RCNHSha_20250922_005045_IMG5,1948,978,97,65,2,2,Detritus / Unsharp Organisms,confirmed
5934,RCNHSha_20250516_044031_IMG7,2835,1333,170,107,2,2,Detritus / Unsharp Organisms,confirmed
4696,RCNHSha_20250516_000947_IMG4,2765,2042,91,60,2,2,Detritus / Unsharp Organisms,confirmed
2197,RCNHSha_20250514_001002_IMG5,1749,808,148,75,2,2,Detritus / Unsharp Organisms,confirmed
6288,RCNHSha_20250520_024045_IMG8,2701,2325,194,52,2,2,Detritus / Unsharp Organisms,confirmed
5832,RCNHSha_20250516_041017_IMG6,1228,1104,117,79,2,2,Detritus / Unsharp Organisms,confirmed
9292,RCNHSha_20250922_075129_IMG8,1699,648,132,100,2,2,Detritus / Unsharp Organisms,confirmed
4042,RCNHSha_20250515_034032_IMG7,1730,773,166,103,2,2,Detritus / Unsharp Organisms,confirmed
2175,RCNHSha_20250514_000917_IMG2,1877,859,125,94,2,2,Detritus / Unsharp Organisms,confirmed
604,RCNHSha_20250511_233901_IMG1,1902,1406,108,97,2,2,Detritus / Unsharp Organisms,confirmed
6363,RCNHSha_20250520_031016_IMG6,2309,386,143,65,2,2,Detritus / Unsharp Organisms,confirmed
4848,RCNHSha_20250516_001002_IMG5,1396,2335,128,92,2,2,Detritus / Unsharp Organisms,confirmed
2453,RCNHSha_20250514_030947_IMG4,2646,1321,157,133,2,2,Detritus / Unsharp Organisms,confirmed
5902,RCNHSha_20250516_041049_IMG8,1822,2034,81,59,2,2,Detritus / Unsharp Organisms,confirmed
6333,RCNHSha_20250520_031001_IMG5,1801,1594,252,63,2,2,Detritus / Unsharp Organisms,confirmed
727,RCNHSha_20250512_004016_IMG6,1850,1035,203,97,2,2,Detritus / Unsharp Organisms,confirmed
6423,RCNHSha_20250520_031046_IMG8,2307,383,138,70,2,2,Detritus / Unsharp Organisms,confirmed
6601,RCNHSha_20250921_222029_IMG4,2114,1664,139,98,2,2,Detritus / Unsharp Organisms,confirmed
3854,RCNHSha_20250515_023932_IMG3,1668,776,165,111,2,2,Detritus / Unsharp Organisms,confirmed
420,RCNHSha_20250511_021016_IMG6,1187,2536,113,57,2,2,Detritus / Unsharp Organisms,confirmed
4761,RCNHSha_20250516_001002_IMG5,1878,843,188,69,2,2,Detritus / Unsharp Organisms,confirmed
947,RCNHSha_20250512_020902_IMG1,839,1561,119,103,2,2,Detritus / Unsharp Organisms,confirmed
1711,RCNHSha_20250513_030931_IMG3,3192,1898,107,103,2,2,Detritus / Unsharp Organisms,confirmed
1949,RCNHSha_20250513_040946_IMG4,2435,938,159,104,2,2,Detritus / Unsharp Organisms,confirmed
5561,RCNHSha_20250516_020900_IMG1,1714,729,160,129,2,2,Detritus / Unsharp Organisms,confirmed
1404,RCNHSha_20250513_013947_IMG4,1272,2367,182,89,2,2,Detritus / Unsharp Organisms,confirmed
2422,RCNHSha_20250514_030916_IMG2,2607,1408,194,57,2,2,Detritus / Unsharp Organisms,confirmed
694,RCNHSha_20250511_234046_IMG8,2784,2226,82,65,2,2,Detritus / Unsharp Organisms,confirmed
2647,RCNHSha_20250514_054033_IMG7,2777,1361,167,95,2,2,Detritus / Unsharp Organisms,confirmed
6153,RCNHSha_20250518_044100_IMG9,1379,2354,206,161,2,2,Detritus / Unsharp Organisms,confirmed
5674,RCNHSha_20250516_031002_IMG5,2236,2455,182,90,2,2,Detritus / Unsharp Organisms,confirmed
5373,RCNHSha_20250516_011045_IMG8,1756,448,101,82,2,2,Detritus / Unsharp Organisms,confirmed
1793,RCNHSha_20250513_031016_IMG6,2825,2129,157,114,2,2,Detritus / Unsharp Organisms,confirmed
61,RCNHSha_20250509_234048_IMG8,1165,1370,89,56,2,2,Detritus / Unsharp Organisms,confirmed
7502,RCNHSha_20250922_005035_IMG4,1947,978,100,65,2,2,Detritus / Unsharp Organisms,confirmed
573,RCNHSha_20250511_051046_IMG8,1721,1013,185,111,2,2,Detritus / Unsharp Organisms,confirmed
6810,RCNHSha_20250921_225041_IMG5,2115,1668,144,96,2,2,Detritus / Unsharp Organisms,confirmed
7932,RCNHSha_20250922_045113_IMG7,1957,970,75,67,2,2,Detritus / Unsharp Organisms,confirmed
3482,RCNHSha_20250515_011032_IMG7,1876,750,134,128,2,2,Detritus / Unsharp Organisms,confirmed
4827,RCNHSha_20250516_001002_IMG5,2945,1924,117,99,2,2,Detritus / Unsharp Organisms,confirmed
7796,RCNHSha_20250922_005145_IMG11,2117,1665,129,98,2,2,Detritus / Unsharp Organisms,confirmed
1469,RCNHSha_20250513_023901_IMG1,2532,1009,136,100,2,2,Detritus / Unsharp Organisms,confirmed
8371,RCNHSha_20250922_055125_IMG8,1000,1973,135,84,2,2,Detritus / Unsharp Organisms,confirmed
4858,RCNHSha_20250516_001002_IMG5,2047,2559,119,96,2,2,Detritus / Unsharp Organisms,confirmed
6790,RCNHSha_20250921_225041_IMG5,1941,975,92,64,2,2,Detritus / Unsharp Organisms,confirmed
3367,RCNHSha_20250515_010947_IMG4,1874,812,157,76,2,2,Detritus / Unsharp Organisms,confirmed
6967,RCNHSha_20250921_225101_IMG7,1939,974,83,63,2,2,Detritus / Unsharp Organisms,confirmed
2037,RCNHSha_20250513_043932_IMG3,1943,1280,169,83,2,2,Detritus / Unsharp Organisms,confirmed
5376,RCNHSha_20250516_011045_IMG8,2146,631,119,88,2,2,Detritus / Unsharp Organisms,confirmed
5137,RCNHSha_20250516_004030_IMG7,1248,1089,157,73,2,2,Detritus / Unsharp Organisms,confirmed
4005,RCNHSha_20250515_033932_IMG3,1716,797,181,80,2,2,Detritus / Unsharp Organisms,confirmed
5184,RCNHSha_20250516_004030_IMG7,2316,2437,162,76,2,2,Detritus / Unsharp Organisms,confirmed
5921,RCNHSha_20250516_044031_IMG7,1868,817,237,69,2,2,Detritus / Unsharp Organisms,confirmed
5113,RCNHSha_20250516_003930_IMG3,2288,2752,104,76,2,2,Detritus / Unsharp Organisms,confirmed
2771,RCNHSha_20250515_000932_IMG3,1710,876,160,77,2,2,Detritus / Unsharp Organisms,confirmed
5238,RCNHSha_20250516_010915_IMG2,1663,351,190,76,2,2,Detritus / Unsharp Organisms,confirmed
6715,RCNHSha_20250921_225031_IMG4,1940,975,83,64,2,2,Detritus / Unsharp Organisms,confirmed
8006,RCNHSha_20250922_045153_IMG11,1959,963,88,73,2,2,Detritus / Unsharp Organisms,confirmed
6097,RCNHSha_20250516_054032_IMG7,2504,2408,149,76,2,2,Detritus / Unsharp Organisms,confirmed
3071,RCNHSha_20250515_001047_IMG8,786,1704,93,61,2,2,Detritus / Unsharp Organisms,confirmed
5132,RCNHSha_20250516_004030_IMG7,1870,816,235,73,2,2,Detritus / Unsharp Organisms,confirmed
5001,RCNHSha_20250516_001016_IMG6,2303,2404,168,100,2,2,Detritus / Unsharp Organisms,confirmed
2863,RCNHSha_20250515_000932_IMG3,1611,2564,180,93,2,2,Detritus / Unsharp Organisms,confirmed
3728,RCNHSha_20250515_023902_IMG1,1970,211,200,150,2,2,Detritus / Unsharp Organisms,confirmed
2730,RCNHSha_20250514_233948_IMG4,1877,2706,135,57,2,2,Detritus / Unsharp Organisms,confirmed
3632,RCNHSha_20250515_014047_IMG8,2120,263,187,89,2,2,Detritus / Unsharp Organisms,confirmed
3395,RCNHSha_20250515_010947_IMG4,1384,2306,94,47,2,2,Detritus / Unsharp Organisms,confirmed
3585,RCNHSha_20250515_013932_IMG3,2121,263,175,87,2,2,Detritus / Unsharp Organisms,confirmed
9568,RCNHSha_20250922_202225_IMG11,1748,2217,77,45,2,2,Detritus / Unsharp Organisms,confirmed
7137,RCNHSha_20250921_225141_IMG11,2417,1668,152,85,2,2,Detritus / Unsharp Organisms,confirmed
5525,RCNHSha_20250516_014100_IMG9,1411,1145,204,126,2,2,Detritus / Unsharp Organisms,confirmed
538,RCNHSha_20250511_044016_IMG6,886,2150,188,98,2,2,Detritus / Unsharp Organisms,confirmed
537,RCNHSha_20250511_044016_IMG6,1458,1986,96,50,2,2,Detritus / Unsharp Organisms,confirmed
4897,RCNHSha_20250516_001016_IMG6,1876,770,216,109,2,2,Detritus / Unsharp Organisms,confirmed
3145,RCNHSha_20250515_003916_IMG2,2180,2046,158,83,2,2,Detritus / Unsharp Organisms,confirmed
9569,RCNHSha_20250922_202225_IMG11,1426,2263,102,78,2,2,Detritus / Unsharp Organisms,confirmed
4928,RCNHSha_20250516_001016_IMG6,1675,1342,93,63,2,2,Detritus / Unsharp Organisms,confirmed
5759,RCNHSha_20250516_040916_IMG2,2931,2100,190,61,2,2,Detritus / Unsharp Organisms,confirmed
117,RCNHSha_20250510_010900_IMG1,3142,2189,89,53,2,2,Detritus / Unsharp Organisms,confirmed
1489,RCNHSha_20250513_024032_IMG7,1338,510,162,122,2,2,Detritus / Unsharp Organisms,confirmed
6181,RCNHSha_20250518_050946_IMG4,1957,914,266,76,2,2,Detritus / Unsharp Organisms,confirmed
4375,RCNHSha_20250515_234047_IMG8,1873,741,227,136,2,2,Detritus / Unsharp Organisms,confirmed
4898,RCNHSha_20250516_001016_IMG6,2230,778,165,96,2,2,Detritus / Unsharp Organisms,confirmed
